Specification,Enseignement postprimaire au total,Enseignement public,†††Masculin,†††FÈminin,Enseignement privÈ,†††Masculin,†††FÈminin,Enseignement secondaire,Enseignement public,†††Masculin,†††FÈminin,Enseignement privÈ,†††Masculin,†††FÈminin,Enseignement secondaire technique,Enseignement public,†††Masculin,†††FÈminin,Enseignement privÈ,†††Masculin,†††FÈminin
1991/1992,20817,18682,10039,8643,2135,493,1642,8420,7882,3815,4067,538,95,443,12397,10800,6224,4576,1597,398,1199
1992/1993,21989,19472,10422,9050,2517,554,1963,8806,8125,3908,4217,681,94,587,13183,11347,6514,4833,1836,460,1376
1993/1994,23138,20635,11030,9605,2503,572,1931,8985,8392,3994,4398,593,101,492,14153,12243,7036,5207,1910,471,1439
1994/1995,25607,22822,12441,10381,2785,591,2194,9012,8402,4050,4352,610,97,513,16595,14420,8391,6029,2175,494,1681
1995/1996,27482,24500,13184,11316,2982,623,2359,9353,8712,4148,4564,641,101,540,18129,15788,9036,6752,2341,522,1819
1996/1997,28483,25386,13626,11760,3097,615,2482,9463,8795,4181,4614,668,98,570,19020,16591,9445,7146,2429,517,1912
1997/1998,29592,26429,14129,12300,3163,675,2488,9553,8902,4223,4679,651,94,557,20039,17527,9906,7621,2512,581,1931
1998/1999,30234,26796,14338,12458,3438,790,2648,9471,8775,4129,4646,696,116,580,20763,18021,10209,7812,2742,674,2068
1999/2000,30603,27070,14427,12643,3533,829,2704,9641,8969,4208,4761,672,98,574,20962,18101,10219,7882,2861,731,2130
2000/2001,31218,27619,14688,12931,3599,799,2800,9859,9261,4265,4996,598,90,508,21359,18358,10423,7935,3001,709,2292
2001/2002,31540,27929,14837,13092,3611,804,2807,9942,9378,4282,5096,564,90,474,21598,18551,10555,7996,3047,714,2333
2002/2003,32056,28378,15122,13256,3678,826,2852,9963,9408,4264,5144,555,94,461,22093,18970,10858,8112,3123,732,2391
2003/2004,32520,28857,15379,13478,3663,802,2861,10316,9764,4426,5338,552,101,451,22204,19093,10953,8140,3111,701,2410
2004/2005,33031,29319,15568,13751,3712,803,2909,10571,10012,4506,5506,559,102,457,22460,19307,11062,8245,3153,701,2452
2005/2006,33873,30113,16126,13987,3760,785,2975,11114,10578,4843,5735,536,83,453,22759,19535,11283,8252,3224,702,2522
2006/2007,34970,31289,16781,14508,3681,728,2953,11693,11192,5152,6040,501,78,423,23277,20097,11629,8468,3180,650,2530
2007/2008,35927,32204,17397,14807,3723,679,3044,12122,11616,5434,6182,506,62,444,23805,20588,11963,8625,3217,617,2600
2008/2009,36792,33065,17888,15177,3727,649,3078,12469,11968,5601,6367,501,49,452,24323,21097,12287,8810,3226,600,2626
2009/2010,37941,34237,18487,15750,3704,615,3089,12757,12289,5822,6467,468,26,442,25184,21948,12665,9283,3236,589,2647
2010/2011,38704,34918,18869,16049,3786,608,3178,12825,12414,5856,6558,411,,411,25879,22504,13013,9491,3375,608,2767
2011/2012,39305,35514,19119,16395,3791,607,3184,12975,12576,5960,6616,399,,399,26330,22938,13159,9779,3392,607,2785
2012/2013,39585,35829,19333,16496,3756,639,3117,12958,12599,5972,6627,359,1,358,26627,23230,13361,9869,3397,638,2759
2013/2014,39830,36089,19402,16687,3741,667,3074,12832,12495,5846,6649,337,,337,26998,23594,13556,10038,3404,667,2737
2014/2015,39653,35931,19239,16692,3722,635,3087,12501,12210,5607,6603,291,,291,27152,23721,13632,10089,3431,635,2796
2015/2016,39983,36312,19470,16842,3671,644,3027,12458,12205,5600,6605,253,,253,27525,24107,13870,10237,3418,644,2774
2016/2017,39896,36309,19516,16793,3587,597,2990,12636,12389,5659,6730,247,,247,27260,23920,13857,10063,3340,597,2743
2017/2018,39571,35983,19325,16658,3588,680,2908,13552,13300,6072,7228,252,6,246,26761,23425,13607,9818,3336,674,2662