Aerenzdall,31,2,53,4,212,14,296,20
Beaufort,31,2,61,4,244,18,336,24
Beckerich,19,1,51,4,140,12,210,17
Berdorf,13,1,46,3,124,7,183,11
Bertrange,60,4,123,8,359,24,542,36
Bettembourg,96,6,204,13,665,43,965,62
Bettendorf,21,2,56,4,177,12,254,18
Betzdorf,54,3,98,6,286,19,438,28
Bissen,31,5,48,4,224,12,303,21
Biwer,20,1,37,3,101,7,158,11
BoevangeAttert,19,1,58,4,149,12,226,17
Bourscheid,20,2,41,4,110,6,171,12
Bous,11,1,26,2,87,6,124,9
Clervaux,38,2,123,7,326,19,487,28
ColmarBerg,22,2,50,4,129,9,201,15
Consdorf,25,1,41,2,138,10,204,13
Contern,40,2,63,4,191,13,294,19
Dalheim,18,1,52,3,113,8,183,12
Diekirch,50,3,132,8,343,20,525,31
Differdange,234,15,613,42,1906,131,2753,188
Dippach,29,2,76,5,195,14,300,21
Dudelange,137,7,464,26,1356,85,1957,118
Echternach,31,2,90,3,339,25,460,30
Ell,5,1,24,2,90,6,119,9
Erpeldange,16,1,46,3,142,10,204,14
EschsurAlzette,207,10,743,29,2310,79,3260,118
EschsurSure,14,1,49,4,168,12,231,17
Ettelbruck,57,4,156,10,558,38,771,52
Feulen,24,1,49,3,151,10,224,14
Fischbach,16,1,35,2,101,6,152,9
Frisange,45,3,85,5,224,12,354,20
Garnich,14,1,46,3,133,9,193,13
Goesdorf,22,1,36,2,100,6,158,9
Grevenmacher,34,2,90,7,308,23,432,32
Grosbous,10,1,29,2,82,6,121,9
Heffingen,15,1,33,2,99,6,147,9
Hesperange,106,6,241,16,759,50,1106,72
Hobscheid,37,2,61,5,202,14,300,21
Junglinster,102,6,143,10,430,27,675,43
Kaerjeng,49,2,177,12,553,63,779,77
Kayl,85,4,186,12,588,36,859,52
Kehlen,47,3,82,5,281,19,410,27
Koerich,22,2,42,3,162,12,226,17
Kopstal,15,1,40,3,181,13,236,17
Larochette,27,1,41,4,178,13,246,18
Lenningen,17,1,48,3,137,11,202,15
Leudelange,21,1,50,3,149,11,220,15
Lintgen,17,1,52,4,142,12,211,17
Lorentzweiler,27,2,81,5,170,13,278,20
Luxembourg,439,33,1183,86,3194,238,4816,357
Mamer,113,6,164,10,514,32,791,48
Mersch,58,3,192,13,597,36,847,52
Mertert,40,2,98,6,260,17,398,25
Mertzig,33,2,54,3,180,13,267,18
Mompach,17,1,35,2,96,6,148,9
Mondercange,55,3,127,9,360,24,542,36
MondorflesBains,43,3,91,5,245,16,379,24
Niederanven,51,3,94,5,268,16,413,24
Nommern,12,1,41,2,102,7,155,10
P+AOk-tange,107,4,433,29,1311,84,1851,117
Praizerdaul,14,1,31,2,95,6,140,9
Rambrouch,43,3,87,5,249,17,379,25
ReckangesurMess,21,1,47,3,157,11,225,15
RedangesurAttert,17,1,49,3,178,12,244,16
Reisdorf,12,1,26,2,101,7,139,10
Remich,37,2,62,5,177,14,276,21
Roeser,59,3,122,8,297,18,478,29
Rosport,21,1,41,3,166,12,228,16
Rumelange,32,2,140,10,440,30,612,42
Saeul,3,1,12,1,46,3,61,5
Sandweiler,18,1,63,4,189,12,270,17
Sanem,126,7,335,20,997,65,1458,92
Schengen,49,1,98,4,304,14,451,19
Schieren,30,2,39,3,134,9,203,14
Schifflange,88,3,251,14,708,45,1047,62
Schuttrange,48,3,75,5,202,13,325,21
Septfontaines,+AC0-,0,13,1,54,3,67,4
Stadtbredimus,18,1,32,2,104,7,154,10
Steinfort,40,2,99,6,280,18,419,26
Steinsel,39,5,107,9,263,18,409,32
Strassen,69,5,139,9,372,26,580,40
SyndicatBillek,43,2,84,5,283,19,410,26
SyndicatHarlange,27,2,88,4,276,13,391,19
SyndicatSchoulkauz,12,1,59,3,170,10,241,14
SyndicatSispolo,42,2,130,7,345,10,517,19
SyndicatSynacosport,34,2,54,4,202,12,290,18
Tandel,24,1,55,4,149,12,228,17
Troisvierges,25,2,70,6,258,18,353,26
Tuntange,17,1,40,3,95,6,152,10
Useldange,12,1,46,3,134,8,192,12
Vianden,12,2,41,3,120,9,173,14
Vichten,15,1,32,2,90,5,137,8
Wahl,12,1,29,2,74,6,115,9
Waldbillig,16,1,38,3,118,8,172,12
Waldbredimus,16,1,26,2,77,6,119,9
Walferdange,55,3,137,9,379,28,571,40
WeilerlaTour,35,2,65,4,195,13,295,19
Weiswampach,14,1,37,2,84,6,135,9
Wiltz,56,3,165,12,434,27,655,42
Wincrange,35,2,92,3,270,9,397,14